coordinates
1,0,0,0
2,0.5,0,0
3,1,0,0
4,1.5,0,0
5,2,0,0
6,2.5,0,0
7,3,0,0
8,3.5,0,0
9,4,0,0
10,4.5,0,0
11,5,0,0
12,0,0.25,0
13,0.5,0.25,0
14,1,0.25,0
15,1.5,0.25,0
16,2,0.25,0
17,2.5,0.25,0
18,3,0.25,0
19,3.5,0.25,0
20,4,0.25,0
21,4.5,0.25,0
22,5,0.25,0
23,0,0.5,0
24,0.5,0.5,0
25,1,0.5,0
26,1.5,0.5,0
27,2,0.5,0
28,2.5,0.5,0
29,3,0.5,0
30,3.5,0.5,0
31,4,0.5,0
32,4.5,0.5,0
33,5,0.5,0
34,0,0.75,0
35,0.5,0.75,0
36,1,0.75,0
37,1.5,0.75,0
38,2,0.75,0
39,2.5,0.75,0
40,3,0.75,0
41,3.5,0.75,0
42,4,0.75,0
43,4.5,0.75,0
44,5,0.75,0
45,0,1,0
46,0.5,1,0
47,1,1,0
48,1.5,1,0
49,2,1,0
50,2.5,1,0
51,3,1,0
52,3.5,1,0
53,4,1,0
54,4.5,1,0
55,5,1,0
56,0,0,0.25
57,0.5,0,0.25
58,1,0,0.25
59,1.5,0,0.25
60,2,0,0.25
61,2.5,0,0.25
62,3,0,0.25
63,3.5,0,0.25
64,4,0,0.25
65,4.5,0,0.25
66,5,0,0.25
67,0,0.25,0.25
68,0.5,0.25,0.25
69,1,0.25,0.25
70,1.5,0.25,0.25
71,2,0.25,0.25
72,2.5,0.25,0.25
73,3,0.25,0.25
74,3.5,0.25,0.25
75,4,0.25,0.25
76,4.5,0.25,0.25
77,5,0.25,0.25
78,0,0.5,0.25
79,0.5,0.5,0.25
80,1,0.5,0.25
81,1.5,0.5,0.25
82,2,0.5,0.25
83,2.5,0.5,0.25
84,3,0.5,0.25
85,3.5,0.5,0.25
86,4,0.5,0.25
87,4.5,0.5,0.25
88,5,0.5,0.25
89,0,0.75,0.25
90,0.5,0.75,0.25
91,1,0.75,0.25
92,1.5,0.75,0.25
93,2,0.75,0.25
94,2.5,0.75,0.25
95,3,0.75,0.25
96,3.5,0.75,0.25
97,4,0.75,0.25
98,4.5,0.75,0.25
99,5,0.75,0.25
100,0,1,0.25
101,0.5,1,0.25
102,1,1,0.25
103,1.5,1,0.25
104,2,1,0.25
105,2.5,1,0.25
106,3,1,0.25
107,3.5,1,0.25
108,4,1,0.25
109,4.5,1,0.25
110,5,1,0.25
111,0,0,0.5
112,0.5,0,0.5
113,1,0,0.5
114,1.5,0,0.5
115,2,0,0.5
116,2.5,0,0.5
117,3,0,0.5
118,3.5,0,0.5
119,4,0,0.5
120,4.5,0,0.5
121,5,0,0.5
122,0,0.25,0.5
123,0.5,0.25,0.5
124,1,0.25,0.5
125,1.5,0.25,0.5
126,2,0.25,0.5
127,2.5,0.25,0.5
128,3,0.25,0.5
129,3.5,0.25,0.5
130,4,0.25,0.5
131,4.5,0.25,0.5
132,5,0.25,0.5
133,0,0.5,0.5
134,0.5,0.5,0.5
135,1,0.5,0.5
136,1.5,0.5,0.5
137,2,0.5,0.5
138,2.5,0.5,0.5
139,3,0.5,0.5
140,3.5,0.5,0.5
141,4,0.5,0.5
142,4.5,0.5,0.5
143,5,0.5,0.5
144,0,0.75,0.5
145,0.5,0.75,0.5
146,1,0.75,0.5
147,1.5,0.75,0.5
148,2,0.75,0.5
149,2.5,0.75,0.5
150,3,0.75,0.5
151,3.5,0.75,0.5
152,4,0.75,0.5
153,4.5,0.75,0.5
154,5,0.75,0.5
155,0,1,0.5
156,0.5,1,0.5
157,1,1,0.5
158,1.5,1,0.5
159,2,1,0.5
160,2.5,1,0.5
161,3,1,0.5
162,3.5,1,0.5
163,4,1,0.5
164,4.5,1,0.5
165,5,1,0.5
